max_depth, eta, objective, booster, gamma, reg_alpha, reg_lambda, subsample, nthread
6,0.05,reg:gamma,gbtree,0,0,0.3,0.9,4,2.7435992382002903
6,0.05,reg:gamma,gbtree,0,0,0.3,1,4,2.7523937935757568
6,0.1,reg:linear,gbtree,0,0,0,0.5,4,2.743195334953118
6,0.1,reg:linear,gbtree,0,0,0,0.6,4,2.655278145302843
6,0.1,reg:linear,gbtree,0,0,0,0.7,4,2.7091968839355838
6,0.1,reg:linear,gbtree,0,0,0,0.8,4,2.7211442812720517
6,0.1,reg:linear,gbtree,0,0,0,0.9,4,2.7091355491171973
6,0.1,reg:linear,gbtree,0,0,0,1,4,2.731269483536699
6,0.1,reg:linear,gbtree,0,0,0.05,0.5,4,2.7294648496112406
6,0.1,reg:linear,gbtree,0,0,0.05,0.6,4,2.718140589381963
6,0.1,reg:linear,gbtree,0,0,0.05,0.7,4,2.682315003034831
6,0.1,reg:linear,gbtree,0,0,0.05,0.8,4,2.7046232907587786
6,0.1,reg:linear,gbtree,0,0,0.05,0.9,4,2.69901808519524
6,0.1,reg:linear,gbtree,0,0,0.05,1,4,2.7373885565179736
6,0.1,reg:linear,gbtree,0,0,0.1,0.5,4,2.6926193522889315
6,0.1,reg:linear,gbtree,0,0,0.1,0.6,4,2.707121810856476
6,0.1,reg:linear,gbtree,0,0,0.1,0.7,4,2.735653271865825
6,0.1,reg:linear,gbtree,0,0,0.1,0.8,4,2.690127147893735
6,0.1,reg:linear,gbtree,0,0,0.1,0.9,4,2.7141357068772423
6,0.1,reg:linear,gbtree,0,0,0.1,1,4,2.7225527045988582
6,0.1,reg:linear,gbtree,0,0,0.2,0.5,4,2.702622138826595
6,0.1,reg:linear,gbtree,0,0,0.2,0.6,4,2.68511061161432
6,0.1,reg:linear,gbtree,0,0,0.2,0.7,4,2.6620116336386093
6,0.1,reg:linear,gbtree,0,0,0.2,0.8,4,2.676907277568343
6,0.1,reg:linear,gbtree,0,0,0.2,0.9,4,2.675665723157279
6,0.1,reg:linear,gbtree,0,0,0.2,1,4,2.73021621674341
6,0.1,reg:linear,gbtree,0,0,0.3,0.5,4,2.6802333579993376
6,0.1,reg:linear,gbtree,0,0,0.3,0.6,4,2.6802696902670817
6,0.1,reg:linear,gbtree,0,0,0.3,0.7,4,2.687242758544466
6,0.1,reg:linear,gbtree,0,0,0.3,0.8,4,2.6806713520616423
6,0.1,reg:linear,gbtree,0,0,0.3,0.9,4,2.670187836489319
6,0.1,reg:linear,gbtree,0,0,0.3,1,4,2.694107858806483
6,0.1,reg:gamma,gbtree,0,0,0,0.5,4,2.863223692917483
6,0.1,reg:gamma,gbtree,0,0,0,0.6,4,2.9049225045308558
6,0.1,reg:gamma,gbtree,0,0,0,0.7,4,2.811931266031455
6,0.1,reg:gamma,gbtree,0,0,0,0.8,4,2.831837191518448
6,0.1,reg:gamma,gbtree,0,0,0,0.9,4,2.8772361080484803
6,0.1,reg:gamma,gbtree,0,0,0,1,4,2.939306650579098
6,0.1,reg:gamma,gbtree,0,0,0.05,0.5,4,2.938785295715747
6,0.1,reg:gamma,gbtree,0,0,0.05,0.6,4,2.850399325328419
6,0.1,reg:gamma,gbtree,0,0,0.05,0.7,4,2.8530963905437745
6,0.1,reg:gamma,gbtree,0,0,0.05,0.8,4,2.8912190525625103
6,0.1,reg:gamma,gbtree,0,0,0.05,0.9,4,2.8278777597097644
6,0.1,reg:gamma,gbtree,0,0,0.05,1,4,2.845700019766306
6,0.1,reg:gamma,gbtree,0,0,0.1,0.5,4,2.870088513601789
6,0.1,reg:gamma,gbtree,0,0,0.1,0.6,4,2.8591049131369206
6,0.1,reg:gamma,gbtree,0,0,0.1,0.7,4,2.902408238833777
6,0.1,reg:gamma,gbtree,0,0,0.1,0.8,4,2.80537905983165
6,0.1,reg:gamma,gbtree,0,0,0.1,0.9,4,2.82992669413464
6,0.1,reg:gamma,gbtree,0,0,0.1,1,4,2.7837662050240577
6,0.1,reg:gamma,gbtree,0,0,0.2,0.5,4,2.897143087656707
6,0.1,reg:gamma,gbtree,0,0,0.2,0.6,4,2.8781377461612396
6,0.1,reg:gamma,gbtree,0,0,0.2,0.7,4,2.866306684561286
6,0.1,reg:gamma,gbtree,0,0,0.2,0.8,4,2.794414042779127
6,0.1,reg:gamma,gbtree,0,0,0.2,0.9,4,2.8197940544752726
6,0.1,reg:gamma,gbtree,0,0,0.2,1,4,2.8050230484870973
6,0.1,reg:gamma,gbtree,0,0,0.3,0.5,4,2.8911545108685734
6,0.1,reg:gamma,gbtree,0,0,0.3,0.6,4,2.966561458080456
6,0.1,reg:gamma,gbtree,0,0,0.3,0.7,4,2.877774016552705
6,0.1,reg:gamma,gbtree,0,0,0.3,0.8,4,2.8056082429500395
6,0.1,reg:gamma,gbtree,0,0,0.3,0.9,4,2.873701915902342
6,0.1,reg:gamma,gbtree,0,0,0.3,1,4,2.780160958776768
6,0.2,reg:linear,gbtree,0,0,0,0.5,4,2.8217358925830753
6,0.2,reg:linear,gbtree,0,0,0,0.6,4,2.814217908194455
6,0.2,reg:linear,gbtree,0,0,0,0.7,4,2.776559135245246
6,0.2,reg:linear,gbtree,0,0,0,0.8,4,2.7232832453080493
6,0.2,reg:linear,gbtree,0,0,0,0.9,4,2.764466544042842
6,0.2,reg:linear,gbtree,0,0,0,1,4,2.7473970843302933
6,0.2,reg:linear,gbtree,0,0,0.05,0.5,4,2.8708654251833385
6,0.2,reg:linear,gbtree,0,0,0.05,0.6,4,2.854212932265829
6,0.2,reg:linear,gbtree,0,0,0.05,0.7,4,2.7479529163024425
6,0.2,reg:linear,gbtree,0,0,0.05,0.8,4,2.797465890273467
6,0.2,reg:linear,gbtree,0,0,0.05,0.9,4,2.777400438976449
6,0.2,reg:linear,gbtree,0,0,0.05,1,4,2.772105057123342
6,0.2,reg:linear,gbtree,0,0,0.1,0.5,4,2.8538278613435204
6,0.2,reg:linear,gbtree,0,0,0.1,0.6,4,2.784362871775229
6,0.2,reg:linear,gbtree,0,0,0.1,0.7,4,2.7496814909783986
6,0.2,reg:linear,gbtree,0,0,0.1,0.8,4,2.7747815650267174
6,0.2,reg:linear,gbtree,0,0,0.1,0.9,4,2.796745828985536
6,0.2,reg:linear,gbtree,0,0,0.1,1,4,2.717829555364158
6,0.2,reg:linear,gbtree,0,0,0.2,0.5,4,2.8244709348825783
6,0.2,reg:linear,gbtree,0,0,0.2,0.6,4,2.7785900999725652
6,0.2,reg:linear,gbtree,0,0,0.2,0.7,4,2.7830215606137165
6,0.2,reg:linear,gbtree,0,0,0.2,0.8,4,2.6891388728760584
6,0.2,reg:linear,gbtree,0,0,0.2,0.9,4,2.7912714173682542
6,0.2,reg:linear,gbtree,0,0,0.2,1,4,2.7407165056680642
6,0.2,reg:linear,gbtree,0,0,0.3,0.5,4,2.7504776129732518
6,0.2,reg:linear,gbtree,0,0,0.3,0.6,4,2.831821370926787
6,0.2,reg:linear,gbtree,0,0,0.3,0.7,4,2.720869085106461
6,0.2,reg:linear,gbtree,0,0,0.3,0.8,4,2.7682170370470462
6,0.2,reg:linear,gbtree,0,0,0.3,0.9,4,2.783516100253921
6,0.2,reg:linear,gbtree,0,0,0.3,1,4,2.6593103252799537
6,0.2,reg:gamma,gbtree,0,0,0,0.5,4,3.32381557738683
6,0.2,reg:gamma,gbtree,0,0,0,0.6,4,2.99600872689265
6,0.2,reg:gamma,gbtree,0,0,0,0.7,4,2.986261987365127
6,0.2,reg:gamma,gbtree,0,0,0,0.8,4,2.9563533523522807
6,0.2,reg:gamma,gbtree,0,0,0,0.9,4,2.963938795132841
6,0.2,reg:gamma,gbtree,0,0,0,1,4,2.9143244588814903
6,0.2,reg:gamma,gbtree,0,0,0.05,0.5,4,3.194443053631472
6,0.2,reg:gamma,gbtree,0,0,0.05,0.6,4,3.1525006961824125
6,0.2,reg:gamma,gbtree,0,0,0.05,0.7,4,3.0332525449976
6,0.2,reg:gamma,gbtree,0,0,0.05,0.8,4,2.9779549664250418
6,0.2,reg:gamma,gbtree,0,0,0.05,0.9,4,2.8561236316939094
6,0.2,reg:gamma,gbtree,0,0,0.05,1,4,2.938761098603946
6,0.2,reg:gamma,gbtree,0,0,0.1,0.5,4,3.109209199177048
6,0.2,reg:gamma,gbtree,0,0,0.1,0.6,4,3.047249236549944
6,0.2,reg:gamma,gbtree,0,0,0.1,0.7,4,3.0792747140894146
6,0.2,reg:gamma,gbtree,0,0,0.1,0.8,4,2.959636110424215
6,0.2,reg:gamma,gbtree,0,0,0.1,0.9,4,2.8843752793773185
6,0.2,reg:gamma,gbtree,0,0,0.1,1,4,2.919451444614719
6,0.2,reg:gamma,gbtree,0,0,0.2,0.5,4,3.3269634162481148
6,0.2,reg:gamma,gbtree,0,0,0.2,0.6,4,3.1000542881406514
6,0.2,reg:gamma,gbtree,0,0,0.2,0.7,4,2.9726244860131152
6,0.2,reg:gamma,gbtree,0,0,0.2,0.8,4,2.862666877368908
6,0.2,reg:gamma,gbtree,0,0,0.2,0.9,4,2.8714257849125246
6,0.2,reg:gamma,gbtree,0,0,0.2,1,4,2.839198994932619
6,0.2,reg:gamma,gbtree,0,0,0.3,0.5,4,3.1050120839950206
6,0.2,reg:gamma,gbtree,0,0,0.3,0.6,4,2.994465005792135
6,0.2,reg:gamma,gbtree,0,0,0.3,0.7,4,3.010457755936713
6,0.2,reg:gamma,gbtree,0,0,0.3,0.8,4,2.9636106025314843
6,0.2,reg:gamma,gbtree,0,0,0.3,0.9,4,2.882868200909742
6,0.2,reg:gamma,gbtree,0,0,0.3,1,4,2.8638553298198657
6,0.3,reg:linear,gbtree,0,0,0,0.5,4,2.9790951147222797
6,0.3,reg:linear,gbtree,0,0,0,0.6,4,2.834157758034365
6,0.3,reg:linear,gbtree,0,0,0,0.7,4,2.907759036166332
6,0.3,reg:linear,gbtree,0,0,0,0.8,4,2.766693395613501
6,0.3,reg:linear,gbtree,0,0,0,0.9,4,3.0081618566939605
6,0.3,reg:linear,gbtree,0,0,0,1,4,2.8081826090953244
6,0.3,reg:linear,gbtree,0,0,0.05,0.5,4,2.9818229058607346
6,0.3,reg:linear,gbtree,0,0,0.05,0.6,4,2.9085351946581035
6,0.3,reg:linear,gbtree,0,0,0.05,0.7,4,2.9297311837801656
6,0.3,reg:linear,gbtree,0,0,0.05,0.8,4,2.8041937149162446
6,0.3,reg:linear,gbtree,0,0,0.05,0.9,4,2.8489855744018557
6,0.3,reg:linear,gbtree,0,0,0.05,1,4,2.8955002235546594
6,0.3,reg:linear,gbtree,0,0,0.1,0.5,4,2.949908761198244
6,0.3,reg:linear,gbtree,0,0,0.1,0.6,4,3.0139090240849136
6,0.3,reg:linear,gbtree,0,0,0.1,0.7,4,2.994163191672797
6,0.3,reg:linear,gbtree,0,0,0.1,0.8,4,2.9029457399466985
6,0.3,reg:linear,gbtree,0,0,0.1,0.9,4,2.773778135923663
6,0.3,reg:linear,gbtree,0,0,0.1,1,4,2.8510111991119205
6,0.3,reg:linear,gbtree,0,0,0.2,0.5,4,2.977045763677479
6,0.3,reg:linear,gbtree,0,0,0.2,0.6,4,2.92761258088835
6,0.3,reg:linear,gbtree,0,0,0.2,0.7,4,2.861735711043762
6,0.3,reg:linear,gbtree,0,0,0.2,0.8,4,2.873641292231609
6,0.3,reg:linear,gbtree,0,0,0.2,0.9,4,2.7288620030792217
6,0.3,reg:linear,gbtree,0,0,0.2,1,4,2.8521614008567076
6,0.3,reg:linear,gbtree,0,0,0.3,0.5,4,2.947669493315593
6,0.3,reg:linear,gbtree,0,0,0.3,0.6,4,2.887106818127062
6,0.3,reg:linear,gbtree,0,0,0.3,0.7,4,2.8782814969761645
6,0.3,reg:linear,gbtree,0,0,0.3,0.8,4,2.899974989579658
6,0.3,reg:linear,gbtree,0,0,0.3,0.9,4,2.812859711620729
6,0.3,reg:linear,gbtree,0,0,0.3,1,4,2.7613597626828166
6,0.3,reg:gamma,gbtree,0,0,0,0.5,4,3.73815217805157
6,0.3,reg:gamma,gbtree,0,0,0,0.6,4,3.371427879688693
6,0.3,reg:gamma,gbtree,0,0,0,0.7,4,3.1801086894982715
6,0.3,reg:gamma,gbtree,0,0,0,0.8,4,3.0975564443274317
6,0.3,reg:gamma,gbtree,0,0,0,0.9,4,2.985951103002877
6,0.3,reg:gamma,gbtree,0,0,0,1,4,2.9040242185412364
6,0.3,reg:gamma,gbtree,0,0,0.05,0.5,4,3.5404132800414265
6,0.3,reg:gamma,gbtree,0,0,0.05,0.6,4,3.3675777985105344
6,0.3,reg:gamma,gbtree,0,0,0.05,0.7,4,3.2963651558512006
6,0.3,reg:gamma,gbtree,0,0,0.05,0.8,4,3.1441580796861723
6,0.3,reg:gamma,gbtree,0,0,0.05,0.9,4,3.0277694633648267
6,0.3,reg:gamma,gbtree,0,0,0.05,1,4,3.0376786929208777
6,0.3,reg:gamma,gbtree,0,0,0.1,0.5,4,3.437870611568576
6,0.3,reg:gamma,gbtree,0,0,0.1,0.6,4,3.4309423226922675
6,0.3,reg:gamma,gbtree,0,0,0.1,0.7,4,3.1403325783231826
6,0.3,reg:gamma,gbtree,0,0,0.1,0.8,4,3.2318081808382604
6,0.3,reg:gamma,gbtree,0,0,0.1,0.9,4,3.0175415349173362
6,0.3,reg:gamma,gbtree,0,0,0.1,1,4,2.958137230967726
6,0.3,reg:gamma,gbtree,0,0,0.2,0.5,4,3.9331441518895875
6,0.3,reg:gamma,gbtree,0,0,0.2,0.6,4,3.316873240890852
6,0.3,reg:gamma,gbtree,0,0,0.2,0.7,4,3.1698035656399974
6,0.3,reg:gamma,gbtree,0,0,0.2,0.8,4,3.15313381637576
6,0.3,reg:gamma,gbtree,0,0,0.2,0.9,4,2.902205987180381
